,Record Count Num,Reference Number,Trade Status,TRACE Symbol,CUSIP,Bloomberg Identifier,Sub Product,When Issued Indicator,Remuneration,Quantity,Price,Yield Direction,Yield,As Of Indicator,Execution Date,Execution Time,Trade Report Date,Trade Report Time,Settlement Date,Trade Modifier 3,Trade Modifier 4,Buy/Sell Indicator,Buyer Commission,Buyer Capacity,Seller Commission,Seller Capacity,Reporting Party Type,Contra Party Indicator,Locked In Indicator,ATS Indicator,Special Price Indicator,Trading Market Indicator,Dissemination Flag,Prior Trade Report Date,Prior Reference Number,First Trade Control Date,First Trade Control Number
0,1,79.0,T,HXSCF5111716,78392BAC1,BBG00YRXT4J3,C144A,N,,200000.0,67.875,,7.751404,A,20221110.0,213849.0,20221111.0,80012.0,20221115.0,,,S,0.0,,0.0,P,D,C,,,,S1,Y,,,20221111.0,79.0
1,2,165.0,T,SHG4822142,82460CAN4,BBG00NQH5QP3,C144A,N,,255000.0,88.096,,6.275189,,20221111.0,32234.0,20221111.0,80013.0,20221115.0,,,S,0.0,,0.0,P,D,D,,,,S1,Y,,,20221111.0,165.0
2,3,182.0,T,EERGF5146481,M4R2A7AC2,BBG00ZH95TN0,C144A,N,,2920000.0,89.375,,,A,20221109.0,41553.0,20221111.0,80013.0,20221114.0,Z,,S,0.0,,0.0,P,D,C,,,,S1,Y,,,20221111.0,182.0
3,4,184.0,T,EERGF5146481,M4R2A7AC2,BBG00ZH95TN0,C144A,N,,80000.0,89.375,,,A,20221109.0,41553.0,20221111.0,80013.0,20221114.0,Z,,S,0.0,,0.0,P,D,C,,,,S1,Y,,,20221111.0,184.0
4,5,221.0,T,SHG5393535,82460EAR1,BBG016FV1HK9,C144A,N,,800000.0,87.681,,6.115289,,20221111.0,51215.0,20221111.0,80014.0,20221115.0,,,S,0.0,,0.0,P,D,D,,,,S1,Y,,,20221111.0,221.0
5,6,313.0,T,ANRTY5022439,00652MAG7,BBG00W1L8T90,C144A,N,,2000000.0,83.0,,8.66193,A,20221110.0,213336.0,20221111.0,80029.0,20221115.0,,,B,0.0,P,0.0,,D,C,,,,S1,Y,,,20221111.0,313.0
6,7,355.0,T,SHG4822142,82460CAN4,BBG00NQH5QP3,C144A,N,,255000.0,88.096,,6.275189,,20221111.0,32234.0,20221111.0,80033.0,20221115.0,,,B,0.0,P,0.0,,D,D,,,,S1,N,,,20221111.0,355.0
7,8,356.0,T,SHG4822142,82460CAN4,BBG00NQH5QP3,C144A,N,,255000.0,88.096,,6.275189,,20221111.0,32234.0,20221111.0,80034.0,20221115.0,,,S,0.0,,0.0,P,D,A,,,,S1,Y,,,20221111.0,356.0
8,9,367.0,T,SHG5393535,82460EAR1,BBG016FV1HK9,C144A,N,,800000.0,87.681,,6.115289,,20221111.0,51215.0,20221111.0,80034.0,20221115.0,,,S,0.0,,0.0,P,D,A,,,,S1,Y,,,20221111.0,367.0
9,10,368.0,T,SHG5393535,82460EAR1,BBG016FV1HK9,C144A,N,,800000.0,87.681,,6.115289,,20221111.0,51215.0,20221111.0,80035.0,20221115.0,,,B,0.0,P,0.0,,D,D,,,,S1,N,,,20221111.0,368.0
10,11,373.0,T,UOVE5390542,91127KAH5,BBG016GGGKR1,C144A,N,,2000000.0,89.2,,,A,20221110.0,224049.0,20221111.0,80036.0,20221115.0,,,B,0.0,P,0.0,,D,C,,,,S1,Y,,,20221111.0,373.0
11,12,375.0,T,UOVE5390542,91127KAH5,BBG016GGGKR1,C144A,N,,4000000.0,89.2,,,A,20221110.0,213118.0,20221111.0,80037.0,20221115.0,,,B,0.0,P,0.0,,D,C,,,,S1,Y,,,20221111.0,375.0
12,13,409.0,T,UOVE5390542,91127KAH5,BBG016GGGKR1,C144A,N,,3008000.0,89.2,,,,20221111.0,23636.0,20221111.0,80101.0,20221115.0,,,B,0.0,P,0.0,,D,C,,,,S1,Y,,,20221111.0,409.0
13,14,428.0,T,EKOT5201387,27889PAB9,BBG011BZD2S7,C144A,N,,235000.0,80.1,,,,20221111.0,40904.0,20221111.0,80103.0,20221115.0,,,S,0.0,,0.0,A,T,C,,Y,,S1,Y,,,20221111.0,428.0
14,15,429.0,T,EKOT5201387,27889PAB9,BBG011BZD2S7,C144A,N,,235000.0,80.1,,,,20221111.0,40904.0,20221111.0,80103.0,20221115.0,,,B,0.0,A,0.0,,T,C,,Y,,S1,Y,,,20221111.0,429.0
15,16,472.0,T,PETFF5385466,36830BAF2,BBG0169DTST3,C144A,N,,5000000.0,73.0,,7.483804,A,20221110.0,211403.0,20221111.0,80105.0,20221115.0,,,B,0.0,A,0.0,,D,C,,,,S1,Y,,,20221111.0,472.0
16,17,473.0,T,PETFF5385466,36830BAF2,BBG0169DTST3,C144A,N,,5000000.0,73.0,,7.483804,A,20221110.0,211403.0,20221111.0,80105.0,20221115.0,,,S,0.0,,0.0,A,D,A,,,,S1,Y,,,20221111.0,473.0
